id,signal_id,market_id,direction,tier,q5_count,net_q5_count,q5_avg_entry,live_price,spread_vs_q5,decision,size_usd,event_group_size,reason,checked_at,cash_at_decision,would_have_size_usd
10037,sig_0x12e576_LONG_1776663075,0x12e576af65661a45fba86fc4b40d10adb1fb8b5e2455f2c42593b96b9ae4911a,LONG,CONSIDER,2,2,0.1459999619199939,0.218,0.0720000380800061,SKIP_PRICE,0.0,2,spread 0.072 > 0.03,2026-05-03T08:41:10.623232+00:00,9256.075438232487,23.14018859558122
10038,sig_0x1c2797_LONG_1776663075,0x1c27970809d0ec4e22757cef8628026108f91712bd6318092b65767351957dc0,LONG,CONSIDER,2,2,0.47962940178666047,0.485,0.005370598213339517,BUY,50.0,2,"yes @ 0.485, q5_entry=0.480",2026-05-03T08:41:12.250012+00:00,9256.075438232487,46.28037719116244
10039,sig_0x264410_LONG_1776663075,0x264410d63ef2deab303393063f12a8d681d6ce4eb9deabe9d6bd96854a8e55e0,LONG,CONSIDER,2,2,0.978,0.0075,-0.9705,SKIP_FLOOR,0.0,2,live 0.007 < 0.05,2026-05-03T08:41:13.420853+00:00,9256.075438232487,46.28037719116244
10040,sig_0x36668e_LONG_1776663075,0x36668e37b463d0762bf6e4c053a44682f89fec1198ec07c279812067bb732604,LONG,CONSIDER,3,3,0.5379534863555994,0.435,-0.10295348635559937,BUY,49.75,2,"yes @ 0.435, q5_entry=0.538",2026-05-03T08:41:15.344472+00:00,9256.075438232487,46.28037719116244
10041,sig_0x682010_LONG_1776663075,0x6820102fd06a43ae0527539a25a4c97ba6e992bfd72912dc6b7bbbd383053669,LONG,ACT,3,3,0.16999995946665206,0.165,-0.004999959466652049,BUY,198.005,1,"yes @ 0.165, q5_entry=0.170",2026-05-03T08:41:16.948844+00:00,9256.075438232487,185.12150876464975
10042,sig_0x77cf58_LONG_1776663075,0x77cf58896c74c5380af70c734e11eb5dd5daeaabc5da47ec000ae6880284bdb8,LONG,CONSIDER,2,2,0.13533619631567567,0.212,0.07666380368432432,SKIP_PRICE,0.0,3,spread 0.077 > 0.03,2026-05-03T08:41:18.118399+00:00,9256.075438232487,15.426792397054145
10043,sig_0xddce96_LONG_1776663075,0xddce96dc34092c56d764935c9cd539b7e4d696ee063addf95dcba3be22df915e,LONG,CONSIDER,2,2,0.005809765507307581,0.0085,0.0026902344926924195,SKIP_FLOOR,0.0,1,live 0.009 < 0.05,2026-05-03T08:41:19.221145+00:00,9256.075438232487,92.56075438232487
10044,sig_0x4890e3_LONG_1776768801,0x4890e36c536eef20111bd617f6479b6b7384ad2ebf16e18a108d989dc0aa9f9e,LONG,CONSIDER,2,2,0.6162345507940701,0.6,-0.0162345507940701,BUY,48.511225,2,"yes @ 0.600, q5_entry=0.616",2026-05-03T08:41:20.846817+00:00,9256.075438232487,46.28037719116244
10045,sig_0xdf6e9e_LONG_1777170655,0xdf6e9ed2eaf69707c7a1162a240ca025a02b0a5028dc286c9248769e0044bdf7,LONG,CONSIDER,2,2,0.52,0.565,0.04499999999999993,SKIP_PRICE,0.0,1,spread 0.045 > 0.03,2026-05-03T08:41:22.057157+00:00,9256.075438232487,46.28037719116244
10046,sig_0x2e5c50_LONG_1777770977,0x2e5c50b8c8aa50f384cc0ad2dd82eda9c4cc3bda4459f1e2a6b0520a820784cd,LONG,CONSIDER,2,2,0.4799999581454477,0.575,0.09500004185455224,SKIP_PRICE,0.0,1,spread 0.095 > 0.03,2026-05-03T08:41:23.253216+00:00,9256.075438232487,46.28037719116244
10047,sig_0xb1501d_LONG_1777791712,0xb1501dfde18ad1db0c8a892408f4e6f0244176756126d6558ac1df4a9471a476,LONG,ACT,4,4,0.5476375024083447,0.64,0.09236249759165527,SKIP_PRICE,0.0,2,spread 0.092 > 0.03,2026-05-03T08:41:24.474095+00:00,9256.075438232487,46.28037719116244
10048,sig_0xfa7f68_LONG_1777791712,0xfa7f6816bdd1fa75a7054c2da667ea0fccc08f3d88b12205d49def963c6c5f7e,LONG,ACT,4,4,0.42017419868501416,0.0005,-0.41967419868501415,SKIP_FLOOR,0.0,2,live 0.001 < 0.05,2026-05-03T08:41:25.618349+00:00,9256.075438232487,92.56075438232487
